WMFFL Scoring History
Werewolves
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
Off,613,Oakland,0x,10x,0x,4x,6x,2x,2x,0b,1 ,13 ,13 ,9 ,4 ,4 ,6 ,74
DL,3297,Ellis,5 ,11 ,0b,1 ,1 ,5*,0*,10*,1 ,5 ,4*,2*,1*,4*,5*,55
DL,3527,Hicks,3*,4*,4*,3*,2*,1 ,4*,5*,0B,4*,2 ,2 ,2 ,6 ,1 ,43
DL,2932,Pryce,7*,1*,0*,4*,0*,8*,4 ,6 ,1*,0B,3*,10*,0*,1*,0*,45
LB,5689,Gold,21 ,8 ,5 ,9 ,6 ,0*,0*,0*,0 ,0b,0 ,0 ,0 ,0 ,0 ,49
LB,5826,Jones,6x,13x,7 ,0b,4*,6 ,5 ,8 ,7 ,2 ,3 ,4 ,7 ,6 ,10 ,88
LB,2651,Lewis,5*,13*,10*,11*,0b,6*,3*,13*,20*,9*,8*,16*,29*,13*,8*,164
LB,2758,Thomas,4*,8*,5*,0B,7*,4 ,6 ,12 ,12*,0*,7*,8*,12*,4*,13*,102
DB,3312,Darius,3*,3*,2*,5*,5*,5*,0B,6*,4*,7*,10*,1*,5*,7*,4*,67
DB,2376,Lassiter,9 ,5 ,4*,2*,6 ,0b,23 ,4 ,8 ,4 ,4 ,0 ,0 ,0 ,0 ,69
DB,2956,Minter,6*,3*,0b,5 ,4*,3*,3*,7*,5*,20*,4*,6*,6*,6*,22*,100
,,Starter Points = ,95,80,57,79,40,65,55,82,72,67,85,67,83,91,125
,,Potential Points = ,138,112,77,121,94,109,114,124,91,96,130,79,105,101,143
,,Offensive Points = ,67,48,32,54,18,38,45,41,30,27,49,24,30,56,73
,,Defensive Points = ,28,32,25,25,22,27,10,41,42,40,36,43,53,35,52
,,Total Points For = ,39,22,12,24,0,7,0,0,7,0,14,0,0,4,44

Crusaders
,,Player/Week,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Tot
HC,1545,Shanahan,5*,5*,5*,3*,0*,3*,0*,0*,0*,0B,5*,0*,4*,4*,3*,37
QB,1096,Brunell,15x,6 ,-2 ,0x,0x,0x,0b,0x,0x,0x,0x,0x,0x,0x,0x,19
QB,4947,Carter,4x,6x,0b,4x,14x,-2x,19x,-6x,3*,6 ,-6 ,13 ,10*,2 ,6 ,73
QB,3591,Fiedler,16x,12 ,2*,0b,-4 ,-2x,4x,0x,0x,0x,0x,0x,26x,-8x,5x,51
QB,6511,Harrington,24x,-6x,-5x,12x,3 ,0b,-4 ,6 ,2 ,0 ,12 ,-1 ,-6 ,8 ,4 ,49
QB,1755,McNair,12 ,2*,13 ,18*,21*,25*,11*,4*,0b,11*,2*,8*,7 ,23*,0*,157
QB,5482,Warner,-2*,0 ,0 ,0 ,0b,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2
RB,1054,Bettis,0x,0x,6x,0x,6x,6x,0b,-2 ,0 ,-2 ,6x,4x,6x,8x,1x,39
